title,artist,like_cnt,lyrics
"모든 날, 모든 순간 (Every day, Every Moment)","폴킴(Paul Kim)
											CONNECT 아티스트","28,965","네가 없이 웃을 수 있을까
생각만 해도 눈물이나
힘든 시간 날 지켜준 사람
이제는 내가 그댈 지킬 테니

너의 품은 항상 따뜻했어
고단했던 나의 하루에 유일한 휴식처 

나는 너 하나로 충분해
긴 말 안 해도 눈빛으로 다 아니깐
한 송이의 꽃이 피고 지는
모든 날 모든 순간 함께해

햇살처럼 빛나고 있었지
나를 보는 네 눈빛은
꿈이라고 해도 좋을 만큼
그 모든 순간은 눈부셨다

불안했던 나의 고된 삶에
한줄기 빛처럼 다가와 날 웃게 해준 너 

나는 너 하나로 충분해
긴 말 안 해도 눈빛으로 다 아니깐
한 송이의 꽃이 피고 지는
모든 날 모든 순간 함께해

알 수 없는 미래지만
네 품속에 있는 지금 순간 순간이
영원 했으면 해 

갈게 바람이 좋은 날에
햇살 눈부신 어떤 날에 너에게로
처음 내게 왔던 그날처럼
모든 날 모든 순간 함께해"
비의 랩소디,임재현,"2,101","이젠 눈물 그쳐 나를 봐요
우는 그대 더 아름다워
내게 이 모습조차 더 남지 않도록
그냥 고개 돌려요
그저 미안한 마음뿐이죠
그댈 위해 해줄 게 없어
모두 이해할게요 그댈 아끼는 맘
그분들도 같을 거란 걸
한참 동안을 비틀거렸죠
그댈 사랑했던 그만큼
떠나가요 아주 먼 곳으로
그대 소식 내게 올 수 없을 그만큼
다 잊어요 내겐 마지막이 될
사람도 모두 다 버려두고 갈게요
나를 위해 많이 애썼단 걸
알고 있죠 난 감사해요
허나 이룰 수 없는 건 어쩔 수 없죠
내가 용기 낼게요 이젠
죽는 날까지 사랑한대도
가질 수 없는 그대인걸
떠나가요 아주 먼 곳으로
그대 소식 내게 올 수 없을 그만큼
다 잊어요 내겐 마지막이 될
사람도 모두 다 버려두고 갈게요
떠나가요 아주 먼 곳으로
그대 소식 내게 올 수 없을 그만큼
혹시라도 내가 그리울 때면
세상에 내가 없다고 믿어요"
인사,"범진
											CONNECT 아티스트","3,048","돌아서는 너를 보며
난 아무 말도 할 수 없었고
슬퍼하기엔 짧았던
나의 해는 저물어 갔네
지나치는 모진 기억이
바람 따라 흩어질 때면
아무 일도 없듯이 보내주려 해
아픈 맘이 남지 않도록
안녕 멀어지는 나의 하루야
빛나지 못한 나의 별들아
차마 아껴왔던 말 이제서야
잘 지내 인사를 보낼 게
떠나가는 너를 보며
난 아무 말도 할 수 없었고
슬퍼하기엔 짧았던
나의 해는 저물어 갔네
돌이킬 순 없는 추억이
바람 따라 흩어질 때면
아무 일도 없듯이 보내주려 해
아픈 맘이 남지 않도록
안녕 멀어지는 나의 하루야
빛나지 못한 나의 별들아
차마 아껴왔던 말 이제서야
잘 지내 인사를 보낼 게
잘 지내 인사를 보낼 게"
헤어지자 말해요,박재정,"4,626","헤어지자고 말하려 오늘
너에게 가다가 우리 추억 생각해 봤어
처음 본 네 얼굴
마주친 눈동자
가까스로 본 너의 그 미소들
손을 잡고 늘 걷던 거리에
첫눈을 보다가 문득 고백했던 그 순간
가보고 싶었던 식당
난생처음 준비한 선물
고맙다는 너의 그 눈물들이
바뀔까 봐 두려워
그대 먼저 헤어지자 말해요
나는 사실 그대에게 좋은 사람이 아녜요
그대 이제 날 떠난다 말해요
잠시라도 이 행복을 느껴서 고마웠다고
시간이 지나고 나면 나는
어쩔 수 없을 걸 문득 너의 사진 보겠지
새로 사귄 친구 함께
웃음 띤 네 얼굴 보면
말할 수 없을 묘한 감정들이
힘들단 걸 알지만
그대 먼저 헤어지자 말해요
나는 사실 그대에게 좋은 사람이 아녜요
그대 이제 날 떠난다 말해요
잠시라도 이 행복을 느껴서 고마웠다고
한 번은 널 볼 수 있을까
이기적인 거 나도 잘 알아
그땐 그럴 수밖에 없던
어린 내게 한 번만 더 기회를 주길
그댈 정말 사랑했다 말해요
나는 사실 그대에게 좋은 사람이 되고 싶었어
영영 다신 못 본다 해도
그댈 위한 이 노래가 당신을 영원히 사랑할 테니"
미안해 미워해 사랑해,Crush,"1,926","It's the same day
이렇게 너를
다시 불러보는
잊고 있던 마음들과
이제야 내미는
나의 미련한 진심들
늦어서 미안해
I wish I could  have told you that
I was born to love you
To love you with all my heart
널 향한 심장이 멈춰지지가 않아
Still want you all the time
아직 내 마음속 한켠의 방에
그리움으로 가득 채워
너를 기다려
Need you all the time
아무 말도 전하지 못해
시간속을 헤메이는
나를 미워해
It's the same night
흐릿한 어느 밤 안개 속에 너를
불러보곤 해 난 또
시간 저편에 빛나던
기억을 떠올려
두 손 꼭 잡았던
I wish I could have told you that
I was made to love you
To love you with all my heart
망설이다 혼자 삼켰던 말 사랑해
Still want you all the time
아직 내 마음속 한켠의 방에
그리움으로 가득 채워
너를 기다려
Need you all the time
미친 듯이 네게 달려가
두 팔 가득 너를 품고
And I want you to know you're the only reason
that I still breathe that I still live
And to tell you
사랑했던 나의 진심이
사랑받던 모든 기억이
내 모든 이유
유일한 이유
Hmmm"
stay a little longer,로제(ROSÉ),350,"Stay a little longer
Take a little longer
To pack up your bags 
You're moving too fast 
Make me want to hate you 
So I don't have to miss you 
Oh make a mistake 
So someone's to blame 

I can't stand these four walls 
without you inside them 
Build us a castle, then leave me in silence
What if I tangled some rope 'round your feet
Into the ocean, cause I'm in too deep 

Please won't you stay, stay a little longer babe 
Don't walk away, when I'm here calling your name 
I'm fragile
I'm speechless
Don't leave me in pieces
Already having enough trouble breathing
Please won't you stay, stay a little longer babe 

Walk a little slower 
Stand a little closer
So I can convince you 
The minute I kiss you 
Speak a little softer
So I don't have to answer 
And make it okay 
Before you can say 

I can't stand these four walls 
without you inside them 
Build us a castle, then leave me in silence
What if I tangled some rope 'round your feet
Into the ocean, cause I'm in too deep 

Please won't you stay, stay a little longer babe 
I'll be okay, you say it's written all over my face
I'm fragile
I'm speechless
Don't leave me in pieces
Already having enough trouble breathing 

Please won't you stay, stay a little longer babe, oh 
Babe 

Stay a little longer
Take a little longer
To pack up your bags 
You're moving too fast 
Make me wanna hate you 
So I don't have to miss you
Oh make a mistake 
So someone's to blame 

Please won't you stay, stay a little longer babe 
I'll be okay, you say it's written all over my face 
I'm fragile
I'm speechless
Don't leave me in pieces
Already having enough trouble breathing
Please won't you stay, stay a little longer babe"
청혼하지 않을 이유를 못 찾았어,이무진,"1,074","너에게 안 믿길 만큼 받은 게 참 많아요
우선은 너 하나, 그리고 우리란 말
사실 더할 나위 없이 그거면 됐지요
우리만의 기억 과분한 선물이지요

너로 인해 난 놀랍게도 변한 게 참 많아요
맘속엔 너와 날 가득히 채운 바다
잡은 두 손 사이로 붉은 실이 보이죠
어쩌면 정해져 있었던 걸지도

근데 있잖아 자연스런 고백이 난 제일 어려워
내 맘을 멋있게 전하고 싶어 고민했어
수많은 바람 끝에 너에게 할 말을 정했어
가장 솔직하고 감동적인 말

너에게 청혼하지 않을 이유를 못 찾았어
내 일상, 내 모든 하루는 너라서
그댄 오늘도 정말 예쁘네요
빛나줘 곁에서 부디 영원토록

수백 번 연습하며 오늘을 기다려왔어
어쩌면 어설픈 말들일지라도
그댈 내일 더 사랑할 거란 것
그게 내가 청혼할 이유
그 이유의 이유

마침내 전한 내 고백 조금은 수줍어도
굳게 잡은 두 손 놓지 않기로 약속
마지막까지도 꼭 함께하기로
그 마지막의 마지막의 마지막까지도

너에게 청혼하지 않을 이유를 못 찾았어
내 일상, 내 모든 하루는 너라서
그댄 오늘도 정말 예쁘네요
빛나줘 곁에서 부디 영원토록

수백 번 연습하며 오늘을 기다려왔어
어쩌면 어설픈 말들일지라도
그댈 내일 더 사랑할 거란 것
그게 내가 청혼할 이유
그 이유의 이유

많은 사람들 중에
그 많은 순간들 중에
만난 우리
우연과 얽힌 운명들 중에
가장 찬란한 순애
그 서막 끝의 무대

너에게 청혼하지 않을 이유를 못 찾은 것
기억 속 찬란함이 온통 너란 것
그댄 오늘도 정말 예쁘단 것
전부야 너무나 당연한 이유가

난 이제 준비해 둔 모든 말을 꺼내 뒀어
항상 내 맘 한켠 담아뒀던 프러포즈
그댄 내일도 아름다울 거란 것
그게 내가 청혼한 이유
그저 너란 이유"
그걸 사랑이라고 말하지마,다비치,256,"널 너무 사랑했던 그때의 난 없을까 
네가 뭘 하던 그냥 마냥 기뻤던 그날 

계속 널 쳐다보면 네가 웃어줄까 봐 
계속 설렜었던 나 아무 걱정 없던 난 

내가 안쓰러워서 아무리 애원해 봐도 
아무리 사랑해 봐도 난 다시 제자리에 또

그걸 사랑이라고 말하지 마 
그 정돈 누구나 다 하니까 
사랑이라는 그 단어에 숨어 
날 괴롭히고 있었잖아 

그걸 아픔이라고 말하지 마 
넌 늘 아무렇지 않았잖아 
왜 이제야 슬픈 척 아까운 척 

널 너무 사랑해서 내 사랑이 더 커도 
괜찮을 줄 알았어 다 버틸 줄 알았어 

그것도 사랑인 줄 알았어 
그것도 아름다워 보여서 
온도가 좀 달라도 괜찮을 줄 알았어

그걸 사랑이라고 말하지 마 
그 정돈 누구나 다 하니까 
사랑이라는 그 단어에 숨어 
날 괴롭히고 있었잖아 

그걸 아픔이라고 말하지 마 
넌 늘 아무렇지 않았잖아 
왜 이제야 슬픈 척 아까운 척 

죽도록 사랑해서 
미치도록 사랑해서 
나만 널 좋아했어서 
나만 널 사랑했었어 

죽도록 아파봐서 
미련 따윈 이젠 없어 
그걸 사랑이라고 말하지 마"
아직 거기 살아,DAY6 (데이식스),"1,121","아직도
난 아직까지도
우리의 미래를 놓지 못했어
같이 늙어가자는
희망찼던 말은
네 미소와 사라졌어

무슨 말을 꺼낼까 
어떻게 널 잡을까 
수많은 고민 끝에 

널 사랑해 
변함없이
난 여전해
너와 달리
잘할 수 있어 난 
더 할 수 있어 난 
잠시만 
제발 
제발 가지 말아 줘 
제발
제발 날 사랑해 줘

무슨 말이 통할까 
가능하긴 한 걸까 
막막한 고민 끝에 

널 사랑해 
변함없이
난 여전해
너와 달리
잘할 수 있어 난 
더 할 수 있어 난 
잠시만 
제발 
제발 가지 말아 줘 
제발
제발 날 사랑해 줘

너와 걷던 거리 
너와 치던 장난 
속삭이던 사랑 
아직 거기 살아 

너와 쓰던 말투 
너와 짓던 표정 
넘쳐났던 사랑 
아직 거기 살아

외로워진 거리 
재미없는 장난 
희미해진 사랑 
나는 여기 살아"
사랑은 늘 도망가,임영웅,"13,860","눈물이 난다 이 길을 걸으면
그 사람 손길이 자꾸 생각이 난다
붙잡지 못하고 가슴만 떨었지
내 아름답던 사람아
사랑이란 게 참 쓰린 거더라
잡으려 할수록 더 멀어지더라
이별이란 게 참 쉬운 거더라
내 잊지 못할 사람아
사랑아 왜 도망가
수줍은 아이처럼
행여 놓아버릴까 봐
꼭 움켜쥐지만
그리움이 쫓아 사랑은 늘 도망가
잠시 쉬어가면 좋을 텐데
바람이 분다 옷깃을 세워도
차가운 이별의 눈물이 차올라
잊지 못해서 가슴에 사무친
내 소중했던 사람아
사랑아 왜 도망가
수줍은 아이처럼
행여 놓아버릴까 봐
꼭 움켜쥐지만
그리움이 쫓아 사랑은 늘 도망가
잠시 쉬어가면 좋을 텐데
기다림도 애태움도 다 버려야 하는데
무얼 찾아 이 길을 서성일까
무얼 찾아 여기 있나
사랑아 왜 도망가
수줍은 아이처럼
행여 놓아버릴까 봐
꼭 움켜쥐지만
그리움이 쫓아 사랑은 늘 도망가
잠시 쉬어가면 좋을 텐데
잠시 쉬어가면 좋을 텐데"
사랑을 억지로 할 수 없잖아,"황치열
											CONNECT 아티스트",125,"그래 여기까지 하자
우린 더 지치기만 할 거야
나를 사랑하지도 바라보지도 않는 
너를 붙잡고 있고 싶지 않아

아주 충분히 넌 사랑해서 괜찮은가 봐
지울 추억이 많아 아프겠지만      
견뎌볼 거야

사랑을 억지로 할 순 없잖아
충분하게 사랑한 네 마음을 너무 잘 알아
내 욕심 때문에 널 붙잡고 있는다 해도
서로 힘들 거야
붙잡지 않을게 헤어지자

너는 금방 날 잊겠지?
한참 난 그리워할 거야
사실 당장 다가올 이별할 걱정보다
마지막 너를 담기에 난 바빠

전부 없던 일처럼 전부 버리지 못해
한동안 아파하고 그리워하고 
힘들 걸 알아

사랑을 억지로 할 순 없잖아
충분하게 사랑한 네 마음을 너무 잘 알아
내 욕심 때문에 널 붙잡고 있는다 해도
서로 힘들 거야
붙잡지 않을게 헤어지자

솔직히 아직도 너무 힘든 건
아쉬움 없는 너의 그 표정을 보는 것

사랑을 억지로 할 순 없잖아
억지로 사랑한다고 해도
예전처럼 날 보는 네 눈빛을 
볼 수 있을까
내 욕심 때문에 널 붙잡고 있는다 해도
이미 끝나버린 많이 변해버린 너잖아"
