title,artist,like_cnt,lyrics,release_date
COME 4 ME,미묘,8,"소리 없이 차오른
네가 두 뺨을 타고 흐를 때
예쁜 목소리와 품
메말라 가는 정적을 깨워
허름하고 또 조각난
몸을 비추며 말해 비켜 봐
스쳐가지 마 숨 가쁘잖아
Never leave me
왜 또 사라져가

COME 4 ME
숨소리는 거쳐
3 2 1
지친 발걸음을 재촉해
팔을 굽혀 바다 건너
You rock my world
Deep in
COME 4 ME
물음표는 비워
3 2 1
지친 기억들을 더듬어
숨을 태워버리고선
You rock my world
Deep in

간절한 말투가 마음속에 남아있을까
떠올리는 일이 짙은 울림처럼 느껴져
이대로 바래질 수는 없어
미지근한 말의 온도
허무해 답조차 싱거우니까
헤집어두고 Gonna be 홀로
먼지 쌓인 너 왜 또 사라져가

COME 4 ME
숨소리는 거쳐
3 2 1
지친 발걸음을 재촉해
팔을 굽혀 바다 건너
You rock my world
Deep in
COME 4 ME
물음표는 비워
3 2 1
지친 기억들을 더듬어
숨을 태워버리고선
You rock my world
Deep in

COME 4 ME
숨소리는 거쳐
3 2 1
지친 발걸음을 재촉해
팔을 굽혀 바다 건너
You rock my world
Deep in
COME 4 ME
물음표는 비워
3 2 1
지친 기억들을 더듬어
숨을 태워버리고선
You rock my world
Deep in

COME",2025.01.21
From night to light,온돌 (ONDOL),4,"Can I send you all my love before it's too late?
When something in the night sky shines the most
Focus on me, I'll give ya a starry night

Baby can I give you all my heart
before this season fades away?
When the last leaf is falling slowly from the tree
Tonight, it should be today

I want you to be my love
So that I can show you everything
And then, let's take a walk
looking toward anywhere we wish

I hope you feel the same way
As I always think about you
I dream of us looking into each other's
eyes and whispering softly

Baby I swear to you, take it from me
I would never turn my back on you
No matter how dark side you have
show me all of yourself

I want you to be my love
Cuz I wanna be the light of your life
And let's fall asleep together
talking about out tomorrow

I wanna be a person with a strong heart
Then you can lean on me whenever you want
And I dream of us greeting tranquil
morning together, forever",2025.01.21
Last Night In Chicago (Studio Live),아이드플레이,0,"You even remember? Woodfield Plaza in Schaumburg.
A special place where you came from far away to see me.
That afternoon we went shopping and had coffee.
And you put me in your car and drove down I-90 to Chicago.

We had a hard time with traffic and parking,
but it was all good because we're just together.
I don’t remember what I ate at McDonald’s that night.
That's how my first night in Chicago started.

It felt like I was being sucked into a scene from a movie.
We drove towards Chicago, listening to music together.
It was a romantic and happy driving time.
An ecstatic scenery that I experienced for the first time in my life.
That night, Chicago, the beautiful city of red lights.
I will never forget that moment that night when I broke up with you until I die.

You even remember? Cloudbar at John Hancock Tower.
We went there after dinner. I don't remember what we drank.

A subtle feeling that may or may not be love.
A candle that swayed uneasily like my heart.
The panoramic night view outside the window was dazzlingly beautiful,
but I was only looking at your

It felt like I was being sucked into a scene from a movie.
We drove towards Chicago, listening to music together.
It was a romantic and happy driving time.
An ecstatic scenery that I experienced for the first time in my life.
That night, Chicago, the beautiful city of red lights.
I will never forget that moment that night when I broke up with you until I die.

I don't know why I did that to you back then.
Why did I like you so much?
Why couldn't I hide my feelings?
I didn't say I love you but You probably already knew everything.
On my last night in Chicago,
On my last night in Chicago oh~
Ooooh~
Ooooh~
Ooooh~

It felt like I was being sucked into a scene from a movie.
We drove towards Chicago, listening to music together.
It was a romantic and happy driving time.
An ecstatic scenery that I experienced for the first time in my life.
That night, Chicago, the beautiful city of red lights.
I will never forget that moment that night when I broke up with you until I die.

I was sorry. What I couldn't say then.
I loved you. What I couldn't say then.
It wasn't the Chicago night that I loved, it was you
mmm~",2025.01.21
잠에 들래 (Home),미나 (MEENA),5,"요즘 따라 나
별다른 흥미 없는 일만 가득해
좋아하던 Playlist 모두 텅 비워
조용하게 All day I've been space out
어지러운 마음 꼭 닫고서

Everything will be pass me by
계속 또 멈춰버린 마음
이제 나 지쳐 Just wanna go home

Cause I need a break now
편한 옷을 입고서
마음을 누여 둔 채로
지친 나도 잠시 쉬고 싶어
Cause I need a break now
편한 곳에 숨어서
한숨 자고 일어나
나를 또 정리할게
All I want is

무심하게 난 또
마음속에 담아 둔 일 모두
묻고서 모른 채 두고 싶어
사랑한 모든 것
잠시 모두 잊어두고서
혼자 외롭게 있고 싶어

Cause I need a break now
편한 옷을 입고서
마음을 누여 둔 채로
지친 나도 잠시 쉬고 싶어
Cause I need a break now
편한 곳에 숨어서
한숨 자고 일어나
나를 또 정리할게
All I want is

잠에 들래
밤이 오지 않아도
잠시 모두 잊고
이 작은 방안에서 맴도는 멜로디와
멈춘 내 마음 어디로 흘러갈는지

Cause I need a break now
편한 옷을 입고서
마음을 누여 둔 채로
지친 나도 잠시 쉬고 싶어
Cause I need a break now
느려지는 공기와
나른해진 이 노래도
잠에 들면",2025.01.21
All Day,5(OH),7,"밝아진 하루
마치 꿈만 같아
oh no, it feels so new
You are my everything
With you by my side
I'll never be apart
나는 너를 보면 웃음이
자연스레 나도 모르게
널 보고 있나 봐
Even if time stop
You're all I need my guidin star

너만 생각해 난 all day
I want think about you all day
네 생각뿐인 걸
You let me talk
oh yeah

너만 생각해 난 all day
I want think about you all day
What is your weekness?
I can take everything
너뿐인 걸
oh yeah

아무리 너와
멀리 떨어져도
누가 뭐라든
과거는 넣어둬
집에 가긴 일러
솔직히 말해
Hoping my lovely reaches you
I hope you desire me
Say yeah

너만 생각해 난 all day
I want think about you all day
네 생각뿐인 걸
You let me talk
oh yeah

너만 생각해 난 all day
I want think about you all day
What is your weekness?
I can take everything
너뿐인 걸
oh yeah

이 순간 언제나
영원하길
네가 말하길 나도",2025.01.21
여수 (麗水),Fre Naz,3,"여기 여수에서 다시 만나요 (Again~)
겨울 밤바다에서
여름 밤을 약속해요

I fell in love at first snow
첫 눈이 내리던 날
여수에서 만나
서먹하던 우리가
섬에서 부른 노래를 기억해?
Do you remember us?

따스한 커피 한잔
나눴던 마음 한켠
서툴게 굴어서 미안해
조금 더 많이 웃어볼 걸

여기 여수에서 다시 만나요 (Again~)
겨울 밤바다에서
여름 밤을 약속해요

함께 한 모든 날들
잊을 수 없는 말들
이대로 옆에 있어줘
첫눈이 녹아 내려도

여기 여수에서 다시 만나요 (Again~)
겨울 밤바다에서
여름 밤을 약속해요",2025.01.21
따릉이 (feat. 제이마스),sophomoric,5,"찬 공기 속 너와 나
이슬 가득한 날씨
하루 종일 치이고
자유롭게 달려 이 거리를

함께 달렸던 우리의
사랑의 향기
내 허릴 잡고 페달을 밟고
떠나자 빨리

저 멀리 떠오른 노을
함께 하던 추억
찬 바람 부는 길엔

언제나 나와 함께한 너와
이 길의 끝에 내가 있을게

The scent of love we shared
Fills the air around us
Let’s leave quickly, just you and me

The scent of love we shared
Fills the air around us
Let’s leave quickly, just you and me

차가운 바람에
손이 얼어붙어도
미래를 향해 행복을 향해
달려 이 거리를

나와 함께해준 너
함께 맞이할 봄
더 행복하게 해줄게
떠나자 빨리 따라와 Follow me

찬 바람이 우릴 덮칠 때
우린 이미 늦어버린 걸 알아
우리 사이에 파고들어도
떨어지지 않을게 걱정 하지 마

무슨 길을 가더라도
그 끝에서 내가 기다릴게
후회하지 않도록
힘들 땐 언제나 내게 기대

The scent of love we shared
Fills the air around us
Let’s leave quickly, just you and me

The scent of love we shared
Fills the air around us
Let’s leave quickly, just you and me",2025.01.21
"몰핀 (Feat. 서연, Paul Coda)",JIMMY,3,"난 당신의
사랑이 될래요
또 그대의
뭐가 될까요

난 지겨워
이 아침의
짐하나가
또 늘어가
숨이 안 쉬어지는
이 무게감 속에
내 마음인데
왜 나는 모르고
질려가는 거지
끌려가는 거지

난 당신의
사랑이 될래요
또 그대의
뭐가 될까요

I'm not going to disappoint you
all day all day
네가 없는 나의 세상 속
나는 없어 나를 잊어

자주 보진 못해도
Baby I was love you
언젠가 지금도 이미 떠나가겠지만
지나가지 않길 바랐어
아주 조금 miss you
다들 걱정해 줘 중독이 아니래도
다시 또 널 찾고 있어
머리가 좀 아파오면
아님 쉬고싶다면
내 bad 위에 누워
속이 조금 불편해도
이 시간을 망칠 수 없어
두 손이 조금 떨리고
널 두기 불안해서

난 당신의
사랑이 될래요
또 그대의
뭐가 될까요

I'm not going to disappoint you
all day all day
네가 없는 나의 세상 속
나는 없어 나를 잊어",2025.01.21
Doctor! Doctor!,ZEROBASEONE (제로베이스원),"12,007","Doctor! Doctor! Help me
낫게 해줘 너 때문인 Lovesick
너 아니면 소용없어 Don’t need
It’s the L-O-V-Emergency

확신하고 있어
병일 거야 분명
가빠지는 Heartbeat

멈추지를 못해
너를 향한 이 애타는 맘
It’s too hot 난 매일

열이 나 열이 올라 심장에
몇 번이고 마주치는 눈빛에
머릿속이 하얘지는 기분
넌 내 맘 몰라

And I give it all
Yeah I will give it all
숨 쉬게 하는 건
Oh baby 너뿐인걸

Doctor! Doctor! Help me
낫게 해줘 너 때문인 Lovesick
너 아니면 소용없어 Don’t need
It’s the L-O-V-Emergency

Doctor! Doctor! Listen
너만이 날 고쳐 놓을 수 있어
깊어지는 Heartache 그래 역시
이건 L-O-V-Eternally

Think I got a fever
Yeah, she callin’ me a heater
Don't know why 아무 말을 뱉어
How do I 판단력을 잃어
Yeah, I messed it up 몹시
I’m stressin’ up 왠지 좀 이상해
왜 네 앞에선 이러는지

Top of the hill
Top of the moon
Top of the world
이성 따윈
하늘로 Boom
타오른 Heart
너 말곤 없어 유일한 Answer

And I give it all
Yeah I would give it all
의미를 주는 건
Oh baby 너뿐인걸

Doctor! Doctor! Help me
낫게 해줘 너 때문인 Lovesick
너 아니면 소용없어 Don’t need
It’s the L-O-V-Emergency

Doctor! Doctor! Listen
너만이 날 고쳐 놓을 수 있어
깊어지는 Heartache 그래 역시
이건 L-O-V-Eternally

Doctor! Doctor! Hey where you at?
Left a message, Yeah call me back
Doctor! Doctor! 난 심각해
L-O-V-Emergency

Doctor! Doctor! Hey where you at?
Left a message, Yeah call me back
Doctor! Doctor! 난 필요해
L-O-V-Eternally",2025.01.20
Winter Poem (Feat. Sam Ock),뎁트,230,"Winter poem
겨울의 시

Our winter poem
우리가 쓰는 겨울의 시
Winter poem
겨울의 시
I’m warm inside your love
너의 사랑 안에서 난 춥지 않아
(hmmm)
(음)


Many times the song is frozen inside
이 노래는 오랫동안 내 안에 얼어붙어 있었어
Stuck inside my stone cold heart
차갑게 굳은 마음 안에 갇혀서
I’ve tried and tried
애쓰고 노력했어
to find a warmer love for me
따뜻한 사랑을 찾아서
I’ve been looking for you
너를 찾고 있었던 거야
When I’m frosty, you’re my heat
차갑게 얼어붙은 나에게, 너는 온기
Take my hand, it’s what I need
내 손을 잡아 줘, 그거면 돼
Darling, walk with me into the blue
내 사랑, 나와 함께 푸른 빛을 걸어가
When it’s cold
날이 추울 때
Can I share your pocket
너의 주머니를 내게 내어줄래
We can walk our hand in hand
우리는 눈 속을
through the snow
손을 잡고 걸어갈 수 있어
Keep me warm
나를 따뜻하게 해줘
Melt my heart inside your love
네 사랑 안에서 내 심장을 녹여 줘
You and me
너와 나
Our winter poem
우리가 쓰는 겨울의 시


Listen, can you hear it falling?
들리지? 떨어지는 이 소리
I can feel your love
너의 사랑을 느낄 수 있어
My fairy light
나의 신비로운 빛
The twinkle in your eyes
네 눈 속의 반짝임


When I’m frosty, you’re my heat
차갑게 얼어붙은 나에게, 너는 온기
Take my hand, it’s what I need
내 손을 잡아 줘, 그거면 돼
Darling, walk with me into the blue
내 사랑, 나와 함께 푸른 빛을 걸어가
When it’s cold
날이 추울 때
Can I share your pocket
너의 주머니를 내게 내어줄래
We can walk our hand in hand
우리는 눈 속을
through the snow
손을 잡고 걸어갈 수 있어
Keep me warm
나를 따뜻하게 해줘
Melt my heart inside your love
네 사랑 안에서 내 심장을 녹여 줘
You and me
너와 나
Our winter poem
우리가 쓰는 겨울의 시
Winter poem
겨울의 시
Our winter poem
우리가 쓰는 겨울의 시
Winter poem
겨울의 시
I’m warm inside your love
너의 사랑 안에서 난 춥지 않아
(inside your love)
(너의 사랑 안에서)


Winter poem
겨울의 시
Our winter poem
우리가 쓰는 겨울의 시
Winter poem
겨울의 시
I’m warm inside your love
너의 사랑 안에서 난 춥지 않아",2025.01.20
