title,artist,like_cnt,lyrics,release_date
summer sky direction,Sasha Snow,1,"I used to be a solid human
moralities just like the truman
I have never once in my life
thought that I’d live this way
they say the first is always hardest
I mean, whatever the hell that means
I say it’s worst that you can’t reserve
the firsts that you shouldn’t have done

Honestly, I don’t know where I went wrong
Honesty was all that I had
Recklessly (I’m) away from my rightful path
Selflessly drifted away (from my ground)

Or maybe this was meant to be
Maybe this was supposed to be
Maybe all that I had known so far
was more than just one layer
don’t wanna get used to this
don’t wanna be someone I’m not
I need summer sky directions
It’s my time to make decisions for me

thought everything had their reasons
and they would lead me to some lesson
but some are meant to be just drift apart
impossible to, /have ev/erything that i want
I used to know the answer
and I used to know what I want
can somebody tell me
where i went so so wrong

Recklessly away from my rightful path
Selflessly drifted away

Or maybe this was meant to be
Maybe this was supposed to be
Maybe all that I had known so far
was more than just one layer
don’t wanna get used to this
don’t wanna be someone I’m not
I need summer sky directions
It’s my time to make decisions for me

I didn’t want to fly into the void
so instead I started to avoid my reality
now that I’m here, after all of these years
realized I’m happy just flyingggg

don’t wanna get used to this
don’t wanna be someone I’m not
I need summer sky directions
It’s my time to make decisions for me
narrative",2024.12.09
작은 위로 (Feat. 프리든),ASEL (아셀),3,"아주 오랜만에 날 알아봐 주고
아주 어린 날에 날 내가 가뒀어

no wait for as
날 down fall in wall

숨어서
쉬운 말보단 어려운 말로

woo ah 매일 잠에 들어 차가운 아침을
woo ah 매일 밤에 들어 너의 목소리는 라
woo ah s 너와 woo ah
조각 안에 숨어 늘 아쉬운 말



그늘 위로 더 어두워질 때
흘렸던 비로 더 어두워질 때
여기서 위로 가만히 거닐 때
조그마한 위로 조금만 위로

그늘 위로 더 어두워질 때
여기서 뒤로 너와 또 거닐 때
여기서 위로 올라가 보면서
조그마한 위로 조금만 위로


하루를 마치고 집에 돌아가는 길
그대 생각에 문득 시간을 흠칫 봐
초침은 달리고 내 마음 같지 않네
내 마음 같지 않네

내 마음 같지 않은 오늘 하루 너의 그 표정이 난 그리워
마구 궁금한 그 표정으로 나를 바라봐 줘
지친 나의 걸음걸이 그대의 눈빛 속에는
아녔으면 좋겠네 감춰지면 좋겠네




그늘 위로 더 어두워질 때
흘렸던 비로 더 어두워질 때
여기서 위로 가만히 거닐 때
조그마한 위로 조금만 위로

그늘 위로 더 어두워질 때
여기서 뒤로 너와 또 거닐 때
여기서 위로 올라가 보면서
조그마한 위로 조금만 위로",2024.12.09
산들산들 (Feat. Roya),nel3on,4,"두근거림
가득한 나의 하루가
좋은 느낌을 따라가

흐르는 시간들은
작은 아쉬움이 되어
다음을 기다리게 해

날마다 너의 온기가 스며들 때
나른한 기분 날 떠오르게 해

내게 사랑이란 게
낯간지러운 게
그런 게 피어나나봐

애매하고 모호한
낯선 기분들이
우연이 아니길 바래

코 끝을 스치는
너의 좋은 향기가
내 마음을 간지럽혀
마치 어린아이처럼
배시시 웃곤 해

아늑하고 포근한
너의 품 속일 때면
내 마음에 나비들이
날아다니고 따스한
햇살 아래 춤추네

내게 사랑이란 게
낯간지러운 게
그런 게 피어나나봐

애매하고 모호한
낯선 기분들이
우연이 아니길 바래

날마다 너의 온기가 스며들 때
영원한 노랫소리가 들려오네
날마다 너의 온기가 스며들 때
영원한 노랫소리가 들려오네",2024.12.09
사랑 (Cherish),gamtae,21,"가끔 다퉈도 우리는 정말로
서로가 없으면 안 될 거 같아서
정처 없이 걷던 나의 앞길도
환하게 비춰주는 네가 있어서

사랑엔 영원히 없다 했었지만
영원을 그려내고 싶어

나 너와 함께 하고 싶어
말할게 널 행복하게 해줄 거야
불안해 네 손 꽉 잡고 말해줄게
사랑해 사랑해

마음엔 영원히 없다 했었지만
영원을 그려내고 싶어

나 너와 함께 하고 싶어
말할게 널 행복하게 해줄 거야
불안해 네 손 꽉 잡고 말해줄게
사랑해 사랑해

나 너와 함께 하고 싶어
말할게 널 행복하게 해줄 거야
불안해 네 손 꽉 잡고 말해줄게
사랑해 사랑해",2024.12.09
Feel the Night,비욘드,3,"매일 밤 이른 잠을 빌던 나
별 볼 일 없이 어지러운 날
""난 다 괜찮아""
입버릇이 이젠 진짜 괜찮아
cause you fill up the night
you fill up the night
you and I
we feel the night
we feel the night (tonight)

이불이 차던 그 밤에
다 부서져 있던 맘에
모든 게 처음으로 돌아간 듯
넌 내 옆이 너무도 익숙한 듯
새벽을 채웠다가
단잠을 재웠다가
내 많은 고민이
어디 있었는지도 모르게 지워버렸지

매일 밤 이른 잠을 빌던 나
별 볼 일 없이 어지러운 날
""난 다 괜찮아""
입버릇이 이젠 진짜 괜찮아
cause you fill up the night
you fill up the night
you and I
we feel the night
we feel the night (tonight)

조그만하더니
언제부터 내 안을 가득 채운거니
안고 있는 매일매일
그저 지나가던 밤을
나의 품에 되돌려놓고
새까맣던 꿈에 색을 선물해주고
웃을 수 있는 법
걸음마처럼 다시 알려주는 걸

채워주길 바래
매일 잠들기 전 어두운 밤에
채워주길 바래
매일 잠들기 전 어두운 밤에
네 숨소리길 바래
팔베개 위에 누운 내 품 안에

매일 밤 이른 잠을 빌던 나
별 볼 일 없이 어지러운 날
""난 다 괜찮아""
입버릇이 이젠 진짜 괜찮아
cause you fill up the night
you
you are the one",2024.12.09
일본거리에서,HwanSS,0,"woo woo yeah
woo woo yeah
woo woo yeah
yeah

평화로운 일상 중에 하나였던 너
바라보지 못했던 말들을 더
뒤집었어
공책 속에 적어 놓은
것들이 또 너무 많아
특별함을 또 쫓아
너를 찾아 버린 나
이제서야 이해하게 된 거야
사랑하는 방법들을 모두 잊어버린 거야
그래 또 따라가는 기억도
잊혀지지 않았어

평화로운 일상 중에 하나였던 너
그걸 몰랐던 나 특별함을 쫓았었어
놓치고 버리고 난 후에야
멈출 줄 몰랐어
영원한 줄 알았어
uh Whoa whoa whoa

평화로운 일본 거리를 나 혼자 걸었어
꺼내보지 못했던 tape을 또 감았어
사진 속에 올려놓은
생각들이 너무 많아
특별함을 또 쫓아
너를 찾아 버린 나
이제서야 이해하게 된 거야
너와 같던 마음들을 모두 잊어버린 거야
네가 서 있는 좋은 기억도
잊혀지지 않았어

평화로운 일상 중에 하나였던 너
그걸 몰랐던 나 특별함을 쫓았었어
놓치고 버리고 난 후에야
멈출 줄 몰랐어
영원한 줄 알았어
uh Whoa whoa whoa

파도같이 장난치던 바닷가에서도
우리 휘졌고 다녔던 모래사장 위
그때도 대답 못했던 말들은
사랑 앞에서 글자로 적었네
잊어버린 말들의 앞에서
또 뒤에서 뱉어 된 말들까지
끝에서 끝까지
모두 사랑이란 걸
내가 시작했던 건 모두 사랑이란 걸 yeah

평화로운 일상 중에 하나였던 너
그걸 몰랐던 나 특별함을 쫓았었어
놓치고 버리고 난 후에야
멈출 줄 몰랐어
영원한 줄 알았어
uh Whoa whoa whoa",2024.12.09
As Long As (해와 달이 없어져도),다비 (DAVII),0,"I'm yours Oh am i ?
날 버려두지 마
한시도 잠시도
난 못 참아

뜨거운 여름도
차디찬 겨울도
Not as hot as you are
Not cold as the way you blow
I hope you always flow
In my mind

As long as i'm with U
As long as i'm yours
아무도 날 알아주지 못해도
너만 내 안에 있다면
As long as you are with me
As long as your mine
오늘 밤 저 하늘이 무너지고
해와 달이 없어져도

Your warmth opens my eyes
너로 인해서 난
숨 쉬는 것 같아
날 꼭 안아 Oh oh

수 많은 계절을
헤매도 너와 함께라면
Enough for me
네 눈을 볼 때면
영원을 믿고 싶어져

As long as i'm with U
As long as i'm yours
아무도 날 알아주지 못해도
너만 내 안에 있다면
As long as you are

How can I breathe without you?
You're all I ever need
네가 함께인 한
두려움은 저 멀리로
Always I love you, woo-

As long as i'm with U
As long as i'm yours
아무도 날 안아주지 못해도
너만 내 안에 있다면
As long as you are with me
As long as your mine
오늘 밤 저 하늘이 무너지고
해와 달이 없어져도",2024.12.08
행진,Austn (오스틴),164,"그대는 모르죠
내 서툰 행동에
마지막이라 다짐했던 첫 만남은 마치
어제였던 것 처럼 눈을 마주쳐
난 아직도 서성이다 문득
바라본 거울 앞엔 행복한 웃음만이

사랑한단 말이 어느새 당연해지듯
종잇장 같던 내 일상에 흑연이 채워져
한치 앞도 생각 안 나게

하얀색의 바닥 위 카펫트와
네가 걸을 때 발목에 스치는
그 느낌은 마치 솔잎 같아서
계속 우린 숲 속을 걷는 기분을 느끼게 될 거야
난 이 공기 속에 평생을 취해 처음 본 날 처럼

그대는 몰랐죠
내 서툰 행동에
사랑하는 마음인데
난 괜히 툴툴 대나봐
너와 보낸 이 순간들이
난 너무나 소중해
첫눈 처럼 말이야
내 심장속에 남아
계속 차오르기를

네가 전부인 탓에
난 아직도 이래
내 마지막 모습 마저
너와 함께 그려줘
아무것도 생각 안나게

하얀색의 바닥 위 카펫트와
네가 걸을 때 발목에 스치는
그 느낌은 마치 솔잎 같아서
계속 우린 숲 속을 걷는 기분을 느끼게 될 거야
난 이 공기 속에 평생을 취해 처음 본 날 처럼

약속해줘 평생을 함께",2024.12.08
읽었지?,신지민 (zemean),62,"읽었지? 방금 내 눈빛을
본거지? 말로 하는 것보다 몇 배는 더 강하게
너를 바라보고 있던 그 눈빛을

안 거지? 이미 전부 눈치
챈 거지? 다 알면서 일부러 그러는 표정과 행동
너무 얄밉지만 아름다워 어쩔 수 없는걸

그래서 자꾸 닿았던 거야
잔뜩 습하고 덥지만, 끈적한 이 느낌 싫지만
자꾸 닿았던 거야, 닿으려 했던 거야
가까이 지금 내 곁에 없는 널

홀린 듯 안고 싶던
자꾸 옆에 눕고 싶던
여태 감추고만 있던
내 맘을 보여주고 싶었던, 그날 그 밤 그리워
가슴이 쪼그라들어 미어지는 기분 넌 알까?

그 밤이 다시 온다면
내게 또 주어진다면
그땐 너를 놓지 않을 거라
몇 번이고 생각하는 지금
내 마음에 솔직하지 못했던 그 밤

착각인 거지? 나를 향하던 네 손짓 눈빛
그거 모두에게 베푸는 친절 같은 거지?
머리론 알고 있는데 내 심장은 자꾸 멋대로 뛰어

그래서 노래했던 거야
표현할 수도 없는 맘, 너에게 조금이라도 닿을까
자꾸 불렀던 거야, 부르려 했던 거야
가까이 지금 내 곁에 없는 널

홀린 듯 안고 싶던
자꾸 옆에 눕고 싶던
여태 감추고만 있던
내 맘을 보여주고 싶었던, 그날 그 밤 그리워
가슴이 쪼그라들어 미어지는 기분 넌 알까?

그 밤이 다시 온다면
내게 또 주어진다면
그땐 너를 놓지 않을 거라
몇 번이고 생각하는 지금
내 마음에 솔직하지 못했던

옆에 누워있던 너를 밤새 바라봤을 때
숨소리까지 놓치고 싶지 않았던 그 밤
미친 듯 뛰던 내 심장소리가 혹여 들릴까
조마조마했었던 그날 밤

미친 척하고 잠깐
훔칠까 상상했었던
저 밤하늘을 닮아있던 네 입술과 두 뺨
이성의 끈을 간신히 잡고 있었던 그 밤
한 번만 내게 한 번이라도

그 밤이 다시 온다면
내게 또 주어진다면
그땐 너를 놓지 않을 거라
몇 번이고 생각하는 지금
내 마음에 솔직하지 못했던 그 밤",2024.12.08
Would You Be Mine (Feat. gyuahh),LONE (론),55,"많은 밤과 낮을 지내고
이제야 깨달았어
나 너만 괜찮다면
On Christmas,
Let me take you to the fine house
To dine with wine that you like
Table set for two
It’s just me and you
Can you promise that you‘ll come through
I’ve been waiting on you
Sippin’ one drink, or maybe two
All the neighborhoods
Are getting ready for this Christmas
하얀 눈처럼 순수한 두 볼을 밝혀줘
Sippin’ one drink
On that very night
망설이지 않아
삼키고 고쳐왔던 말
Would You Be Mine?
With kiss, said she wanted me
More than Christmas Eve
I’m in love with Santa’s prize
That’s you
Would You Be Mine
Would You Be Mine
I was so blind
눈앞에 널 두고서 나
숨기고팠던 말
Boy Would You Be Mine?
더 바랄 게 없어
나에게 수줍게 건넨
Phone 안에 적힌 나의
이름 대신 붙인 네 마음
좋아한단 말로는 다 설명 안돼
Girl I feel the same as your heart beside
Change my mind
Don’t be shy
I will promise always be there for you
Cause I’ve been waiting for love like this
Sippin’ one drink, or maybe two
우리 둘만이 만든 Christmas tree 아래서
까만 눈동자를 바라보며 약속해 줘
Give me bear hug
Since that very night
망설이지 않아
삼켜도 터져 나와 hopelessly
In love with you every sec of my time
Said she want from me
Every Christmas Eve
Sing this lovely song
Said he want from me
Every Christmas Eve
Sing this lovely song
We don’t need the feast
Or the turkey since
Everyday is Christmas time
With you",2024.12.08
"흐릿해 (Feat. Dally, 김뮤즈)",시엔 (Sien),48,"애초에 끊어내지 못해
이미 변해버린 너와 나의
Feel like Feel like Umm Let you go
더는 못 할 거 같아

흐릿해져 가는 이 마음에
다시 노력해 봐도
이젠 바랄 게 더 없지

그만 널 놓아야 할까
한 발 더 멀어져 가잖아
Baby without you, lonely 멀어져만 가지
이제 너를 사랑하진 못할 것 같아

(Please back to me 조금씩 멀어져 가 너)

나도 알아 마냥 쉽진 않지
우린 모두 약하잖아, 그치?
서로 바라보던 눈을 어떻게 잊겠어

이젠 없어 더는
떠올릴 진심도
위로할 말도 딱히 그만
난 두려워서

그만 널 놓아야 할까
한 발 더 멀어져 가잖아
Baby without you, lonely 멀어져만 가지
이제 너를 사랑하진 못할 것 같아

멀어지지 마 아냐 그냥 안아줘
날, 더
멀어져도 돼 이젠 두고 가도 돼
다, 모두 다

그만 널 놓아야 할까
한 발 더 멀어져 가잖아
Baby without you, lonely 멀어져만 가지
이제 너를 사랑하진 못할 것 같아",2024.12.08
Hold Me Tight,SUXIM,8,"어젯밤 꿈에
네가 나왔었네
You didn't talk to me again
꿈에서조차 넌 왜
너를 태우고 달렸네
어디든지 i don't care
I don't care. If you want, I'll do
처음으로 돌아가도
Go around
도대체 어떻게 해
Stuck in my head
하루 종일 나
Go around
도대체 어떻게 해
아직도 난
기억이 선명한데
널 잊지 못하게
더 꽉 잡아줘 babe
I don't want this dream to end,
Even this feeling
I don't bad bad
You don't bad bad
My bad
네 두 손을 잡고 했던 lie
널 잊지 못하게
더 꽉 잡아줘 babe
I don't want this dream to end,
Even this feeling
I don't bad bad
You don't bad bad
My bad
이곳을 헤어 나오질 못해
이젠 정리해
그만해
괜히 소릴 질러봐도
우리 노트에
날 욕해
너의 미소는 괴롭게 해 더
그런 널 뭐가 좋다고
후회해
알아 비참해도
넌 항상 빛이 강해
그날의 날 쫓아 헤매어 또
후회해
알아 유치해도
내 하루는 너였기에
널 잊지 못하게
더 꽉 잡아줘 babe
I don't want this dream to end,
Even this feeling
I don't bad bad
You don't bad bad
My bad
네 두 손을 잡고 했던 lie
널 잊지 못하게
더 꽉 잡아줘 babe
I don't want this dream to end,
Even this feeling
I don't bad bad
You don't bad bad
My bad
이곳을 헤어 나오질 못해",2024.12.08
거짓말,엔프로젝트,0,"쥐구멍에 숨은 진실 흩날려, 날린다,
모든 비밀 밝을 때, 다 같이 졸라
짜잔, 이 거짓말, 새빨간 입술,
눈 감아, 말해봐, 여기 성실한 순수 끌어

진실이라며? ㅎ 이게 거짓말
깊이 숨겨둬, 가식적인 고백 망해
어둠 속 거짓, 멜로디 위로 관심 줄게
거짓말, 너의 쇼, 춤춰, 이제 짠해

진실과 마주할 때, 거리감 폭발,
이 거짓말! 진정한 서커스의 주인바람
현실 속 날개, 잡고서 거짓의 밤,
서로 믿고 더 가식적인 순간 이끌어

진실이라며? ㅎ 이게 거짓말
깊이 숨겨둬, 가식적인 고백 망해
어둠 속 거짓, 멜로디 위로 관심 줄게
거짓말, 너의 쇼, 춤춰, 이제 짠해

한 멀리, 저 멀리 꿈 찾아 헤매,
진짜 속의 진리, 낯선 듯 얘기,
거짓 위에 쌓인 비밀자, 고백과의 메아리,
구름 타고 날아가, 모든 건 트릭 소리

거짓말이 진짜일 때, 머릿속 장난감,
웃고 있는 진실 앞 얼굴, 진정한 자유담,
구름 위에 집 짓고, 나의 길 빛나,
모르겠지? 지금도 웃긴 진짜, 궁금하시겠지, 담",2024.12.08
무관심,엔프로젝트,0,"그대 얼굴 마주칠 때, 냉랭한 표정
거울 속 내 모습 비릿한 미소
원래 의도 없이 널 스쳐갔던
잊혀진 추억들, 안에서 푹 자라나

무관심 속에 숨긴 내 마음
아프게 찌르는 시린 한숨
멀어져만 가는 네 모습
더 이상 잡을 수 없는 신기루 같아

텅 빈 골목, 발소리조차 없어
나른한 오후 속에 잠겨 있는 거
차가운 눈빛 묻는 말조차 민망해
어떤 위로도 더 이상 나는 필요 없네

무관심 속에 숨긴 내 마음
아프게 찌르는 시린 한숨
멀어져만 가는 네 모습
더 이상 잡을 수 없는 신기루 같아

머릿속엔 계속 울려, 공허한 반주
고요한 공간, 뜻없는 생각에 춤추고
도망가지 않으려 해도 뒤따라오는 피로
느리게 흘러가는 시간에 휘둘리네

깊숙한 어둠 속에서 널 찾아야 했지
단 한 줌의 빛, 내 곁을 비추던 그 순간
다시 못 볼 너의 손길, 깊이 새겨져
한없이 내려앉는 밤 속에 널 불러",2024.12.08
5K!,"CSL (김가연, 조은성)",11,"How the fuck does that even get love no
She wants me to dance like him
That’s bullshit bullshit
I cannot feel ya trapped in this pit
Counting a lot even when it’s down Shit
Been looking forward
caught up in the record
Tell nobody tryna keep it quiet
but my day’s a 5k
Over 10k for me
Feels like l'm sinking every time try to lie yeah
Yeah I've been tryna find a way to bring
it back
While you're chasing around
man, I hate this generation
Yeah get in to the fight
Can’t feel light when i’m awake ye
can’t beat it
but you know that I fly high inside
You can’t invite me
told myself it’s just a fight
It’s 5 PM, over the flight
4 AM, so I take care on my own
You’re callin’ only when you’re down yeah
Can’t get it right, but maybe baby
Oh
It will be alright
We will be alright oh
I’m alright don’t need no side
Even those who pick fights just to feel alive
When I make some trade they fly away
Just like the pussy boy who you liked
So we’ll be alright
I cannot feel ya trapped in this pit
Counting a lot even when it’s down Shit
Been looking forward
caught up in the record
Tell nobody tryna keep it quiet
but my day’s a 5k
Over 10k for me
Feels like l'm sinking every time try to lie yeah
Yeah I've been tryna find a way to bring
it back
While you're chasing around man,
I hate this generation Bae,
i wanna let you know ya
they told me “i tryna fuck them all’
lot of goals but not a dream
우린 미움보단 사랑이
필요해 더 사람이
oh my god damn
they just need a ice chain
쟤넨 몰라 이거 never
follow shitty way ya
보여 나 이제
freaky die inside
never leave it
even they just tryna kill my soul
never afraid of any messy freaks oh no
but mine is 140
I cannot feel ya trapped in this pit
Counting a lot even when it’s down Shit
Been looking forward
caught up in the record
Tell nobody tryna keep it quiet
but my day’s a 5k
Over 10k for me
Feels like l'm sinking every time try to lie yeah
Yeah I've been tryna find a way to bring
it back
While you're chasing around man,
I hate this generation",2024.12.08
WCWD,리비 (li:vi),9,"하늘도 바랐나봐
우리가 예쁜 사랑하기를
날씨도 좋아 봐봐
모두가 우릴 응원하잖아
드라이빙 어때
바다도 보고
부숴진 마음 다 치유하고 싶어 너랑
그래 거긴 어때
너가 좋아하던 그 커피숍
너랑 좀 더 같이 있고 싶어
What can't we do?
What can't we do?
부족한 거 하나없이 너무
아름다운 날
What can't we do?
그래 이 조합 미쳤나봐
이 세상에 믿을 건 우리뿐
조금은 이상하네 왜 이리
완벽한 하루가 계속되나 정말
꽃같이 보석같이
예쁜 나날들만 생기잖아
드라이빙 어때
바다도 보고
부숴진 마음 다 치유하고 싶어 너랑
그래 거긴 어때
너가 좋아하던 그 커피숍
너랑 좀 더 같이 있고 싶어
What can't we do?
What can't we do?
부족한 거 하나없이 너무
아름다운 날
What can't we do?
그래 이 조합 미쳤나봐
이 세상에 믿을 건 우리뿐",2024.12.08
사랑은,homezone,706,"사랑은 그리 어렵지 않아요
조금만 더 바라봐 주면 돼요
그러다가 가끔 눈물이 날 땐
안아주면 돼요
똑같은 마음 덮고서

Woo 그래서 사랑은
양쪽이 똑같은 모양을 하고
Woo 미움과 슬픔이
가득한 여기서도
서로를 만나게 했고

사랑, 수많은 노래가
담고 있는 의미는 변한 적 없고
사랑, 그 흔한 단어 하나가
늘 귀에 맴도는 건
그만큼 소중한 거라고

언제는 미워하고
언제는 또 싫은 게
마음이니, 마음으로
안아줄 거고

언젠가 이해되지
않을 물음표조차
이해하고, 바라보면
그것도 사랑이 되겠지

Everybody just hate the world now
차갑고 차가운 세상엔
따뜻한 말 한마디론
얼음 한 조각도 녹이질 못하고

만들래 너와 나의 이글루
너만 있다면 그게 나의
집이고, 너와 나의 자리

사랑, 수많은 노래가
담고 있는 의미는 변한 적 없고
사랑, 그 흔한 단어 하나가
늘 귀에 맴도는 건
그만큼 소중한 거라고",2024.12.07
Double Down (feat. Seori),지셀 (Jiselle),302,"Oh
Double down
Double down
Double down
on you my babe

Let me make the bet
Ima take the risk

On you
Double down
Double down
Double down
On you my baby

Everything seems so blurry
너만 보고 걷는 이 길이

어디까지 일지 몰라도
You’re the one I wanna be with

이런말 하게 될거란
생각도 못해봤던 일이라

Its a mad world when I’m with you
It hits different every time

I know I might be little reckless
Stakes are high but im helpless
Even if I ever lose, it would be worth it
Im all in

Oh
Double down
Double down
Double down
on you my babe

Let me make the bet
I will take the risk

On you
Double down
Double down
Double down
On you my baby

I‘ll put everything on the line

커피 보다 더
아니 위스키 보다 더
진한 너의 향기 눈빛에
숨 막히게
oh 나 홀린 것 같아

지금보다 더
가까이 올래 더
네가 너무 보고싶어서
I just wanna talk ‘bout every night with you, love

Every day, I call it mayday
I used to hate losing, but with you, babe
Now I’d risk it all, baby

Oh
Double down
Double down
Double down
on you my babe

Let me make the bet
I will take the risk

On you
Double down
Double down
Double down
On you my baby

I‘ll put everything on the line",2024.12.07
잠꼬대 (Feat. FYVE),은비 (EunBii),98,"어쩌면 이렇게 난
어쩌면 이렇게 넌 ooh

어쩌면 이렇게 우리 둘은
생각이 많아진 밤

낮에는 모르는 척
눈을 맞추면
넌 다른 사람인 듯
텅 비어있는데

언제나 나를 스치는
차가운 공기마저도
어제의 너와는 너무 다른데

I don’t know what to believe
이럴 때면
I don’t know what to do anymore

잠꼬대같이 사랑을 속삭여
내 꿈에서만 존재하던
그렇게 사라진 너

‘말해 대체 내가 못해준 게 어딨어
들고있던 폰은 내 손을 떠나서 저기에
이 상황은 우릴 돌려놓지 않을 것처럼
흘러가고 이상해 내 맘 한쪽이

Baby 이제 사랑한단 말도 I can't tell you anymore
시간이 지나서야 알게 되겠지 girl you was somethin'
girl you are
somethin'

아니 난 이제서야 잠에 들 듯해
It was like 니 손 안의 bear bricks
잡은 손의 힘이 없는 건 뭐를 뜻해
또 못된 말을 뱉고 있는 나만 be freak

너 없이 사는 하루가 how it be
부디 아름다운 채로 내가 남아있길
나는 다시 나에게로
이제 편해 나는 혼자인 게 더

I don’t know what to believe
이럴 때면
I don’t know what to do anymore

잠꼬대같이 사랑을 속삭여
내 꿈에서만 존재하던
그렇게 사라진 너",2024.12.07
Chocolate Muffin,모한 (Mohan),47,"하나 둘 켜진
도시의 빛
창밖엔 눈이
조금 내리고
나지막하게 너를 부른 거야

저마다 닮은
웃음소리
점잖은듯한
분위기에서
너의 이야길 들을 거야

오늘 밤 내게 와
너를 위한 선물을 준비했어 난
To you

Take my chocolate muffin
Lovely muffin
또 한 잔의 커피
같이 맞지
너의 미소는 이 장면의 candlelight
한 편의 동화 같기만 해
My chocolate muffin
Love it?
I love it

어쩌다 한번 문이 열릴 때면
가볍게 울리는 종소리와
음악은 jazz like a magic
따뜻한 선율이
너의 마음을 녹여줘

오늘 밤 내게 와
너를 위한 선물을 준비했어 난
To you

Take my chocolate muffin
Lovely muffin
또 한 잔의 커피
같이 맞지
너의 미소는 이 장면의 candlelight
한 편의 동화 같기만 해
My chocolate muffin
Love it?
I love it

Take my chocolate muffin
Lovely muffin
또 한 잔의 커피
같이 맞지
너의 미소는 이 장면의 candlelight
한 편의 동화 같기만 해
My chocolate muffin
Love it?
I love it",2024.12.07
more than you,noin,41,"갈색 머리 간지러운 눈
나만 아는 표정들
언제 봐도 매력 있어 넌
모른다고 하지만

말리지 마
네가 아니라고 해도
나는
내가 널 못 이겨

사랑해 내가 더 많이
시간이 지나도
미안해 내가 더 많이
네가 되게 잘못했어도

i did fall in love
난 more than you
사랑해 널
oh whatever you do

i miss you, girl
난 more than you
you hold my heart
넌 모를 거야
내가 얼마나 널 사랑하는지

습관이 될게
미안해 내가 더 잘할게 yeah
너 아님 안 돼
날씨 좋은데 잠깐 볼래

다 말해주고 싶어서
내가 전부 해줄 거라고
말해줘 내게 뭐든

말리지 마
네가 아니라고 해도
나는
내가 널 못 이겨

사랑해 내가 더 많이
시간이 지나도
미안해 내가 더 많이
네가 되게 잘못했어도

i did fall in love
난 more than you
사랑해 널
oh whatever you do

i miss you, girl
난 more than you
you hold my heart
넌 모를 거야
내가 얼마나 널 사랑하는지",2024.12.07
It`s Lovelylove,Suzan Lee,1,"It`s lovelylove
It`s lovelylove
It`s lovelylove
yeah, It`s lovelylove
Your love is endless, like the sea,
Waves crashing softly, carrying me.
No matter where this road may go,
Forever with you is all I know.
It`s lovelylove
It`s lovelylove
It`s lovelylove
yeah, It`s lovelylove
And even if the sky should fall,
You’re the one who answers my call.
Through every storm, through every night,
I’ll hold you close, I’ll hold you tight.
It`s lovelylove
It`s lovelylove
It`s lovelylove
yeah, It`s lovelylove
It`s lovelylove
It`s lovelylove
It`s lovelylove
yeah, It`s lovelylove
Your love is endless, like the sea,
Waves crashing softly, carrying me.
No matter where this road may go,
Forever with you is all I know.
It`s lovelylove
It`s lovelylove
It`s lovelylove
yeah, It`s lovelylove
It`s lovelylove
It`s lovelylove
It`s lovelylove
yeah, It`s lovelylove",2024.12.07
필요로 (Shade),라다인 (RADAIN),0,"Shade 밝혀야 하니 왜
Say no more
What I see 다른데 내 눈엔
고칠 건 더 없어
그대로를 봐줘

갈 곳이 꽤 머니
한걸음 더 한걸음 더
한걸음 더 한걸음 만이

맘대로 해
나도 그럴 거니까
우린 어차피 다
자신 속에 살아
화내라지
그런다고 달라질 건 없어
바꾸려 하지 마
원래 그런 거야

너흰 내 맘을 전혀 몰라
그런데도 다 안다고 여기지
What I say 나도 마찬가지
너넬 몰라
서로 인정할 수밖에
난 니가 돼볼 순 없어

할 일이 또 많니
하루 더 하루 더 하루
또 하루 더 하루 가잖니

맘대로 해
나도 그럴 거니까
우린 어차피 다
자신 속에 살아
화내라지
그런다고 달라질 건 없어
바꾸려 하지 마
원래 그런 거야

너완 하루 종일 가도
할 말 없지만
니가 원한 거야
이건 필요로",2024.12.07
Orchid,Jadenseoul,3,"been a lotta love and been a lotta pain yeah

know there's not a lotta truth in what we say

can you deny ?

baby, don't even lie

cause you don't know that we shouldn't feel this way

and i know that i said we don't need to change

maybe i lied

cause i kept it inside

that's why i need time from you

do i even love you?

what do i even want?

there's something about your love too

do you know you're lost?

why do you even love?

lotta time, know it's been a lotta time

that we've become so difficult and distorted

found

that it's worse that you'd like it

if i send a text that i still want you tonight

that's why i need time from you

do i even love you?

what do i even want?

there's something about your love too

do you know you're lost?

why do you even love?",2024.12.07
어디든지,모트 (Motte),330,"어디든지 가자
가장 빠른 비행기를
알아보고
밤은 하루정도 새도 돼
조금이면 사라질 피로

언젠가 네가 내게
말했던 것처럼
소란스러운 것들은
여기 두고
있지도 않은 일은
생각도 하지마
하루는 잠깐 잊어두자
조금만 미뤄두자

when I take a pic
우리의 순간을 담아서
모아두자
when we take a plane
잠시면 돼 눈을 감고서
떠나보자

먼지 가득한 거리 위를
쓰다듬는 바람을 타고서
높은 빌딩들 사이에
복잡하기만 한 this city

언젠가 네가 내게
말했던 것처럼
소란스러운 것들은
여기 두고
있지도 않은 일은
생각도 하지 마
하루는 잠깐 잊어두자
조금만 미뤄두자

when I take a pic
우리의 순간을 담아서
모아두자
when we take a plane
잠시면 돼 눈을 감고서
떠나보자

when I take a pic
우리의 순간을 담아서
모아두자
when we take a plane
잠시면 돼 눈을 감고서
떠나보자",2024.12.06
